element_path,tag,depth,attributes,text
report/package/sourcefile/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=0; covered=34,
report/package/sourcefile/counter[@type=BRANCH],counter,3,type=BRANCH; missed=1; covered=5,
report/package/sourcefile/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=7,
report/package/sourcefile/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=1; covered=5,
report/package/sourcefile/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=3,
report/package/sourcefile/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/sourcefile/line,line,3,cb=0; ci=3; mb=0; mi=0; nr=3,
report/package/sourcefile/line,line,3,cb=3; ci=5; mb=1; mi=0; nr=6,
report/package/sourcefile/line,line,3,cb=0; ci=5; mb=0; mi=0; nr=7,
report/package/sourcefile/line,line,3,cb=0; ci=3; mb=0; mi=0; nr=9,
report/package/sourcefile/line,line,3,cb=2; ci=4; mb=0; mi=0; nr=13,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=14,
report/package/sourcefile/line,line,3,cb=0; ci=12; mb=0; mi=0; nr=16,
